run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
1	13	14	13	1.507	0	420	101290	286.43	1350.6	-54.1	221.7	251.1	1585.4	29.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	12.435989179542	-0.509402035802516	67.7222546752013	-0.194778750306927	7.32933430513595	-0.18853440075181	0.0581720685546127	-0.00238283981440828	0.316785708379318	-0.000652389437995463	0.207810919002413	-0.000631474694007781	0.318206010191247	0.0498207755005536	0.00238283981440828	0.316785708379318	0.0581720685546127	0.00238283981440828	-0.00130693476375479	0.191414948807595	0.191414948807595	-0.000665627460144445
2	13	14	50	3.993	0	420	101290	286.43	1135.5	-122.4	742.2	807.8	1221.3	71.3	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	10.4546809731635	-1.05854748961859	125.024966837146	-0.108475449460363	4.26044902777297	-0.461149831009785	0.0489040646069354	-0.00495158818855401	0.584831720009302	-0.000363326273519246	0.12079785025006	-0.00154456930548177	0.586817493994769	0.00806083158353231	0.00495158818855401	0.584831720009302	0.0489040646069354	0.00495158818855401	-0.00164712091295054	0.107014094478198	0.107014094478198	-0.00165551656643557
3	13	15	28	3.507	0	420	101290	286.43	-763.6	-193.7	951.5	1006.9	-172.7	109.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-7.01426831413918	-1.72549539776966	115.860611394856	-0.922203864035574	4.70285913701404	-0.708664442667523	-0.0328107793710367	-0.00807138339544789	0.54196343624425	-0.00308881774642959	0.133341643117158	-0.00237359155837438	0.538941467660997	-0.065901501530849	0.00807138339544789	0.54196343624425	-0.0328107793710367	0.00807138339544789	-0.00520852282857495	0.142589458675431	0.142589458675431	-0.00268775447421986
4	13	16	3	1.5	0	420	101290	286.43	811.2	-116.2	290.5	336.4	1185.3	66.9	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	93.74	93.74	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.09871946862415	2.09871946862415	7.47361865580753	-1.03727706828698	67.3388120711723	-0.470345426784413	7.36587019235908	-0.433484466846169	0.0349594914019279	-0.00485209112482842	0.314992071449734	-0.00157536891555211	0.208846832495278	-0.0014519072910156	0.315799264333248	0.0267019804856277	0.00485209112482842	0.314992071449734	0.0349594914019279	0.00485209112482842	-0.0029039302256693	0.198993396073056	0.198993396073056	-0.00152742579005618
5	13	16	54	-0.5	0	420	101290	286.43	1374.6	-11.1	-206.4	-207	1807.6	0.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	12.6455546239127	-0.196179023760226	18.8497604501696	-0.321885267501242	10.1084818169733	-0.00824805449322238	0.0591523569113012	-0.000917670436536771	0.0881738912212269	-0.0010781183698594	0.286608961830598	-2.76259275044642e-05	0.0876543386872302	0.0599195571625747	0.000917670436536771	0.0881738912212269	0.0591523569113012	0.000917670436536771	-0.00133695668499168	0.269936694452648	0.269936694452648	-1.59578756224272e-05
6	13	17	26	-4.002	0	420	101290	286.43	1224.6	-38.6	-992.2	-991.1	2114.6	5.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	11.2603549167885	-0.553293844200558	-69.718896620592	-0.628777649625147	15.300404364475	-0.0579951589204804	0.0526727812891854	-0.00258815338056328	-0.326125439256324	-0.0021060197625083	0.433817173527208	-0.000194248238449881	-0.329006321407515	0.0297836279315252	0.00258815338056328	-0.326125439256324	0.0526727812891854	0.00258815338056328	-0.00284214127359928	0.418971193771737	0.418971193771737	4.58213438585573e-06
7	13	18	19	6.994	0	420	101290	286.43	801.4	-188.2	1375.1	1457.3	666.5	109.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	7.38080653695596	-1.62674250273028	189.98489062869	-0.424377293946911	-0.625906319872294	-0.706703711690457	0.0345253423477125	-0.00760944505686784	0.888696019466928	-0.00142140384338535	-0.0177465185959568	-0.0023670243112893	0.886287143160088	-0.0739439933308971	0.00760944505686784	0.888696019466928	0.0345253423477125	0.00760944505686784	-0.00325139081132483	-0.0274775888185595	-0.0274775888185595	-0.00274531798062696
8	13	19	16	6.995	0	420	101290	286.43	-340.3	-159.9	1588.6	1634.3	-229.5	83	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-3.12296116643997	-1.50622532733433	191.909260353277	-0.858114453927688	-1.17829483656238	-0.531751660831537	-0.0146083362123213	-0.00704569952059202	0.897697681170466	-0.00287415750153193	-0.0334085638132568	-0.00178104216510472	0.889236879480682	-0.123823674784689	0.00704569952059202	0.897697681170466	-0.0146083362123213	0.00704569952059202	-0.00460693455308727	-0.0292911608897516	-0.0292911608897516	-0.00232883053448081
9	13	19	59	6.995	0	420	101290	286.43	-338.6	-159.9	1589.3	1635.5	-227.2	82.6	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-3.10733607510593	-1.51114478302251	192.082526181642	-0.855228010639681	-1.16495087293121	-0.529166588042348	-0.0145352464185676	-0.0070687113541834	0.898508170107075	-0.00286448968555353	-0.0330302182187072	-0.00177238375559414	0.890050236846629	-0.123849832566995	0.0070687113541834	0.898508170107075	-0.0145352464185676	0.0070687113541834	-0.00460483081872631	-0.0289334158705246	-0.0289334158705246	-0.00231998037288411
10	13	20	20	6.995	0	420	101290	286.43	-338.5	-159.9	1589	1634.6	-226.9	82.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-3.10641109605041	-1.50868158723743	192.016211480596	-0.862357620455941	-1.16205047417987	-0.530462185343373	-0.0145309196260421	-0.00705718921533269	0.898197968539695	-0.00288836950885986	-0.032947982301379	-0.00177672321251001	0.889742871105431	-0.123807760786946	0.00705718921533269	0.898197968539695	-0.0145309196260421	0.00705718921533269	-0.00462478105160435	-0.028852399472513	-0.028852399472513	-0.00232671712404353
11	13	21	6	1.005	0	420	101290	286.43	-859.6	-253.1	402.6	489.5	3.5	143.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0	0	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-7.89916147739412	-2.29430780561061	54.5760455087915	-1.0860136797153	8.28071437314289	-0.928936175376409	-0.0369500613383333	-0.0107321282630996	0.255291429973245	-0.0036374802335902	0.234785697068486	-0.00311136686333857	0.254604066572718	-0.041422102014817	0.0107321282630996	0.255291429973245	-0.0369500613383333	0.0107321282630996	-0.00660676524305139	0.245200181535912	0.245200181535912	-0.00322676864964596
12	13	21	56	-4	0	420	101290	286.43	1553.3	27.9	-1017.5	-1044.9	2345.1	-36.3	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0	0	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	14.2842664758218	-0.0103009477173737	-68.9049199589733	-0.525430560529702	15.1077950500857	0.216043892958744	0.0668177912257127	-4.81849435651093e-05	-0.322317884788568	-0.00175987035315435	0.428356061103448	0.000723614632949487	-0.32619370812014	0.0441712673770216	4.81849435651093e-05	-0.322317884788568	0.0668177912257127	4.81849435651093e-05	-0.00171865457884987	0.4095232683106	0.4095232683106	0.000841739227077128
